X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36
"Female","18 - 24","Bachelor's Degree","Single","401 - 800 USD","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes"
"Female","18 - 24","Bachelor's Degree","Single","401 - 800 USD","Sometimes","Sometimes","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost never"
"Female","18 - 24","High School","Single","0 - 400 USD","Sometimes","Sometimes","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost never"
"Female","25 - 34","Bachelor's Degree","Single","401 - 800 USD","Sometimes","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost never"
"Female","35 - 44","Bachelor's Degree","Divorced","801 - 1600 USD","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost never"
"Female","45 - 54","Middle School","Divorced","401 - 800 USD","Quite often","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost never"
"Female","55 and above","Primary School","Divorced","0 - 400 USD","Sometimes","Sometimes","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost never"
"Other","25 - 34","Bachelor's Degree","Other","801 - 1600 USD","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Quite often","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost never"
"Male","35 - 44","High School","Divorced","801 - 1600 USD","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Quite often","Sometimes","Quite often","Sometimes","Sometimes","Quite often","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Almost never"
"Male","18 - 24","High School","Single","401 - 800 USD","Sometimes","Sometimes","Quite often","Very often","Very often","Very often","Sometimes","Sometimes","Very often","Quite often","Sometimes","Quite often","Sometimes","Sometimes","Very often","Very often","Very often","Quite often","Quite often","Very often","Quite often","Sometimes","Very often","Very often","Very often","Very often","Very often","Very often","Quite often","Very often","Almost never"
"Male","55 and above","Middle School","Divorced","0 - 400 USD","Quite often","Very often","Quite often","Very often","Very often","Very often","Quite often","Quite often","Very often","Very often","Quite often","Very often","Quite often","Quite often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Quite often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Almost never"
"Female","18 - 24","Bachelor's Degree","Single","401 - 800 USD","Very often","Very often","Very often","Very often","Very often","Very often","Quite often","Very often","Very often","Very often","Quite often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Quite often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Almost never"
"Female","25 - 34","High School","Divorced","401 - 800 USD","Quite often","Quite often","Very often","Very often","Very often","Very often","Quite often","Quite often","Very often","Very often","Quite often","Very often","Quite often","Quite often","Very often","Very often","Very often","Quite often","Very often","Very often","Quite often","Quite often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Almost never"
"Female","35 - 44","High School","Divorced","401 - 800 USD","Very often","Quite often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Quite often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Almost never"
"Female","45 - 54","Middle School","Divorced","401 - 800 USD","Quite often","Very often","Quite often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Quite often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Almost never"
"Female","55 and above","Primary School","Married","0 - 400 USD","Very often","Very often","Quite often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Very often","Almost never"
