Timestamp,X3,X1,X2,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36
2025/01/01 05:34:22 AM GMT+3,Bachelor's Degree,Female,25 - 34,Sometimes,Very often,Quite often,Very often,Sometimes,Sometimes,Very often,Very often,Very often,Quite often,Never,Almost never,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Sometimes,Quite often,Quite often,Quite often,Sometimes,Very often,Sometimes,Very often,Sometimes,Very often,Never,Almost never,Almost never
2025/01/06 07:53:24 AM GMT+3,Bachelor's Degree,Male,35 - 44,Never,Almost never,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Quite often,Never,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Quite often,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Almost never,Sometimes,Almost never
2025/01/05 01:24:19 AM GMT+3,Bachelor's Degree,Male,55 and above,Sometimes,Almost never,Sometimes,Quite often,Sometimes,Very often,Quite often,Sometimes,Sometimes,Sometimes,Quite often,Almost never,Sometimes,Sometimes,Almost never,Almost never,Very often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Very often,Almost never
2025/01/11 07:23:29 AM GMT+3,Bachelor's Degree,Male,55 and above,Never,Quite often,Very often,Very often,Quite often,Sometimes,Sometimes,Very often,Very often,Quite often,Quite often,Almost never,Sometimes,Sometimes,Almost never,Quite often,Almost never,Sometimes,Almost never,Very often,Never,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Never,Almost never
2025/01/24 10:38:29 PM GMT+3,Bachelor's Degree,Other,25 - 34,Sometimes,Sometimes,Quite often,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Quite often,Sometimes,Quite often,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Almost never
2025/01/14 06:16:17 PM GMT+3,Bachelor's Degree,Female,55 and above,Very often,Sometimes,Quite often,Sometimes,Very often,Sometimes,Sometimes,Very often,Sometimes,Quite often,Quite often,Sometimes,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Almost never
2025/01/01 12:09:26 PM GMT+3,Bachelor's Degree,Female,45 - 54,Sometimes,Sometimes,Almost never,Quite often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Almost never,Very often,Almost never,Quite often,Almost never,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Almost never,Sometimes
2025/01/10 08:47:02 AM GMT+3,Bachelor's Degree,Female,55 and above,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Quite often,Never,Quite often,Sometimes,Sometimes,Sometimes,Quite often,Almost never,Sometimes,Sometimes,Very often,Sometimes,Quite often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never
2025/01/03 02:09:03 AM GMT+3,Bachelor's Degree,Male,18 - 24,Sometimes,Almost never,Very often,Sometimes,Quite often,Very often,Sometimes,Sometimes,Never,Sometimes,Quite often,Quite often,Quite often,Sometimes,Almost never,Almost never,Very often,Quite often,Sometimes,Sometimes,Very often,Sometimes,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
2025/01/09 09:31:26 AM GMT+3,Bachelor's Degree,Female,55 and above,Sometimes,Almost never,Sometimes,Sometimes,Quite often,Sometimes,Very often,Sometimes,Very often,Sometimes,Never,Sometimes,Sometimes,Quite often,Sometimes,Very often,Never,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Very often,Almost never,Very often,Very often,Very often,Very often,Never,Almost never,Almost never
2025/01/23 06:11:45 PM GMT+3,Bachelor's Degree,Female,55 and above,Quite often,Sometimes,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Quite often,Very often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Almost never,Sometimes,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Almost never
2025/01/11 04:30:24 AM GMT+3,Bachelor's Degree,Male,18 - 24,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Quite often,Quite often,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Almost never
2025/01/21 03:45:04 AM GMT+3,Bachelor's Degree,Other,45 - 54,Sometimes,Quite often,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Quite often,Very often,Sometimes,Very often,Very often,Sometimes,Very often,Never,Very often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Almost never,Sometimes,Almost never
2025/01/22 10:24:58 PM GMT+3,Bachelor's Degree,Other,25 - 34,Very often,Almost never,Very often,Very often,Sometimes,Sometimes,Very often,Sometimes,Quite often,Sometimes,Quite often,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Very often,Never,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Never,Almost never,Almost never
2025/01/26 04:47:03 PM GMT+3,Bachelor's Degree,Male,25 - 34,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Very often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Almost never,Quite often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Very often,Very often,Sometimes,Sometimes,Sometimes,Very often,Never,Sometimes
2025/01/12 02:24:05 PM GMT+3,Bachelor's Degree,Female,35 - 44,Sometimes,Sometimes,Quite often,Very often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Very often,Very often,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Almost never
2025/01/18 12:15:08 AM GMT+3,Bachelor's Degree,Female,18 - 24,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Very often,Sometimes,Almost never,Almost never,Very often,Quite often,Almost never,Very often,Almost never,Sometimes,Very often,Almost never,Sometimes,Sometimes,Very often,Very often,Very often,Sometimes,Almost never
2025/01/22 03:14:46 PM GMT+3,Bachelor's Degree,Female,45 - 54,Sometimes,Very often,Sometimes,Quite often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Almost never,Sometimes,Sometimes,Very often,Almost never,Sometimes,Very often,Almost never,Very often,Almost never,Sometimes,Very often,Almost never,Sometimes,Very often,Sometimes,Never,Very often,Sometimes,Almost never
2025/01/02 01:25:48 AM GMT+3,Bachelor's Degree,Female,18 - 24,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Very often,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Almost never,Very often,Sometimes,Sometimes,Almost never,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Never,Almost never,Almost never
2025/01/23 05:38:12 AM GMT+3,Bachelor's Degree,Female,18 - 24,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Never,Very often,Very often,Sometimes,Sometimes,Quite often,Almost never,Sometimes,Sometimes,Never,Very often,Sometimes,Sometimes,Almost never,Very often,Sometimes,Sometimes,Sometimes,Almost never,Very often,Almost never
2025/01/05 11:59:42 PM GMT+3,Bachelor's Degree,Other,25 - 34,Sometimes,Very often,Quite often,Sometimes,Quite often,Very often,Sometimes,Quite often,Very often,Sometimes,Never,Quite often,Very often,Sometimes,Almost never,Never,Sometimes,Very often,Very often,Sometimes,Never,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Never,Almost never
2025/01/04 10:02:27 PM GMT+3,Bachelor's Degree,Female,45 - 54,Sometimes,Quite often,Quite often,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Quite often,Sometimes,Very often,Never,Sometimes,Never,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
2025/01/23 08:48:09 AM GMT+3,Bachelor's Degree,Male,45 - 54,Very often,Quite often,Quite often,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Very often,Sometimes,Very often,Very often,Sometimes,Sometimes,Almost never,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Never,Sometimes,Almost never
2025/01/22 09:58:23 AM GMT+3,Bachelor's Degree,Female,45 - 54,Very often,Sometimes,Sometimes,Quite often,Very often,Sometimes,Very often,Sometimes,Never,Sometimes,Very often,Very often,Sometimes,Very often,Almost never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes
2025/01/05 05:29:13 PM GMT+3,Bachelor's Degree,Male,25 - 34,Sometimes,Quite often,Quite often,Very often,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Quite often,Very often,Sometimes,Very often,Almost never,Sometimes,Quite often,Very often,Very often,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Almost never
2025/01/17 07:48:33 PM GMT+3,Bachelor's Degree,Female,35 - 44,Sometimes,Sometimes,Sometimes,Quite often,Very often,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Very often,Very often,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Quite often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Very often,Almost never
2025/01/19 08:41:59 PM GMT+3,Bachelor's Degree,Male,55 and above,Quite often,Sometimes,Quite often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Very often,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Very often,Sometimes,Never,Sometimes,Almost never,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Never,Sometimes,Almost never
2025/01/05 08:15:16 AM GMT+3,Bachelor's Degree,Female,35 - 44,Sometimes,Sometimes,Sometimes,Quite often,Very often,Very often,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Very often,Sometimes,Very often,Quite often,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Almost never,Very often,Almost never
2025/01/14 09:49:28 AM GMT+3,Bachelor's Degree,Female,25 - 34,Sometimes,Quite often,Almost never,Very often,Very often,Sometimes,Sometimes,Quite often,Very often,Very often,Sometimes,Quite often,Sometimes,Never,Sometimes,Sometimes,Very often,Sometimes,Almost never,Quite often,Sometimes,Sometimes,Very often,Very often,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Almost never
2025/01/12 07:47:49 AM GMT+3,Bachelor's Degree,Female,35 - 44,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Never,Very often,Never,Sometimes,Sometimes,Sometimes,Never,Quite often,Never,Sometimes,Sometimes,Quite often,Never,Quite often,Very often,Sometimes,Very often,Very often,Sometimes,Very often,Very often,Very often,Almost never
2025/01/03 03:17:37 AM GMT+3,Bachelor's Degree,Female,55 and above,Very often,Quite often,Quite often,Very often,Very often,Sometimes,Sometimes,Quite often,Sometimes,Very often,Sometimes,Almost never,Quite often,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Never,Quite often,Sometimes,Never,Very often,Very often,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Almost never
2025/01/10 05:51:58 AM GMT+3,Bachelor's Degree,Female,35 - 44,Sometimes,Sometimes,Quite often,Very often,Sometimes,Very often,Sometimes,Sometimes,Never,Very often,Sometimes,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Very often,Almost never
2025/01/13 11:10:42 PM GMT+3,Bachelor's Degree,Other,35 - 44,Quite often,Almost never,Almost never,Quite often,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Very often,Very often,Never,Almost never
2025/01/09 03:50:47 PM GMT+3,Bachelor's Degree,Female,18 - 24,Sometimes,Almost never,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Very often,Quite often,Very often,Sometimes,Sometimes,Sometimes,Never,Quite often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Almost never,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Almost never
2025/01/26 10:58:18 AM GMT+3,Bachelor's Degree,Male,55 and above,Never,Very often,Sometimes,Very often,Very often,Very often,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Very often,Almost never,Sometimes,Very often,Very often,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Very often,Almost never,Sometimes,Almost never
2025/01/09 10:51:02 PM GMT+3,Bachelor's Degree,Male,25 - 34,Sometimes,Almost never,Quite often,Quite often,Sometimes,Very often,Very often,Sometimes,Very often,Sometimes,Sometimes,Almost never,Sometimes,Never,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Very often,Sometimes,Very often,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Almost never
2025/01/05 01:44:26 PM GMT+3,Bachelor's Degree,Female,35 - 44,Sometimes,Sometimes,Quite often,Very often,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Never,Sometimes,Almost never,Sometimes,Sometimes,Almost never,Sometimes,Almost never,Almost never,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Very often,Very often,Almost never
2025/01/16 04:00:39 AM GMT+3,Bachelor's Degree,Female,55 and above,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Very often,Quite often,Sometimes,Quite often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Never,Very often,Sometimes,Sometimes,Never,Almost never
2025/01/12 05:15:12 AM GMT+3,Bachelor's Degree,Female,55 and above,Sometimes,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Very often,Almost never,Very often,Quite often,Almost never,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Never,Almost never
2025/01/05 06:44:40 PM GMT+3,Bachelor's Degree,Male,55 and above,Sometimes,Sometimes,Quite often,Quite often,Quite often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Almost never,Quite often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never
2025/01/06 04:42:08 AM GMT+3,Bachelor's Degree,Male,25 - 34,Sometimes,Quite often,Sometimes,Quite often,Very often,Sometimes,Very often,Sometimes,Quite often,Quite often,Sometimes,Quite often,Sometimes,Very often,Almost never,Very often,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Almost never,Very often,Sometimes,Sometimes,Very often,Very often,Very often,Almost never
2025/01/17 05:38:00 PM GMT+3,Bachelor's Degree,Male,35 - 44,Sometimes,Sometimes,Quite often,Quite often,Very often,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Never,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Almost never,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Almost never,Sometimes,Almost never
2025/01/13 06:06:08 PM GMT+3,Bachelor's Degree,Female,55 and above,Very often,Sometimes,Almost never,Quite often,Very often,Sometimes,Very often,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Almost never,Very often,Very often,Sometimes,Almost never,Sometimes,Sometimes,Very often,Very often,Very often,Very often,Very often,Very often,Never,Very often,Almost never
2025/01/13 02:41:06 PM GMT+3,Bachelor's Degree,Female,18 - 24,Sometimes,Almost never,Quite often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Almost never,Never,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Almost never,Almost never
2025/01/22 01:59:11 AM GMT+3,Bachelor's Degree,Other,45 - 54,Quite often,Quite often,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,Very often,Sometimes,Very often,Very often,Very often,Very often,Almost never,Never,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Almost never
2025/01/19 01:12:45 PM GMT+3,Bachelor's Degree,Female,25 - 34,Sometimes,Very often,Sometimes,Quite often,Very often,Very often,Quite often,Sometimes,Quite often,Sometimes,Never,Quite often,Very often,Sometimes,Sometimes,Very often,Very often,Sometimes,Almost never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Never,Never,Almost never
2025/01/18 01:48:52 AM GMT+3,Bachelor's Degree,Female,45 - 54,Quite often,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Quite often,Very often,Sometimes,Very often,Almost never,Sometimes,Sometimes,Sometimes,Very often,Never,Sometimes,Very often,Sometimes,Sometimes,Very often,Very often,Very often,Sometimes,Very often,Sometimes
2025/01/10 04:52:37 PM GMT+3,Bachelor's Degree,Female,55 and above,Sometimes,Sometimes,Quite often,Quite often,Quite often,Sometimes,Very often,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Quite often,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Sometimes,Very often,Never,Very often,Sometimes,Sometimes,Sometimes,Almost never
2025/01/24 02:12:27 AM GMT+3,Bachelor's Degree,Female,55 and above,Quite often,Very often,Sometimes,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Quite often,Sometimes,Quite often,Very often,Very often,Almost never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Very often,Almost never,Very often,Sometimes
2025/01/12 03:38:22 PM GMT+3,Bachelor's Degree,Male,25 - 34,Sometimes,Sometimes,Very often,Quite often,Very often,Sometimes,Sometimes,Quite often,Very often,Sometimes,Sometimes,Almost never,Quite often,Sometimes,Very often,Quite often,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Very often,Never,Sometimes,Almost never
2025/01/02 02:33:04 AM GMT+3,Bachelor's Degree,Female,35 - 44,Never,Sometimes,Quite often,Sometimes,Very often,Very often,Sometimes,Sometimes,Quite often,Quite often,Quite often,Quite often,Sometimes,Sometimes,Very often,Very often,Sometimes,Very often,Very often,Very often,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Never,Very often,Almost never
2025/01/26 05:45:54 AM GMT+3,Bachelor's Degree,Female,18 - 24,Quite often,Sometimes,Sometimes,Very often,Quite often,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Quite often,Sometimes,Very often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Sometimes
2025/01/02 01:13:39 PM GMT+3,Bachelor's Degree,Female,55 and above,Quite often,Sometimes,Quite often,Quite often,Very often,Sometimes,Very often,Quite often,Sometimes,Quite often,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Almost never,Sometimes,Sometimes,Very often,Never,Very often,Quite often,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Almost never,Sometimes,Sometimes
2025/01/01 01:33:55 AM GMT+3,Bachelor's Degree,Female,18 - 24,Sometimes,Sometimes,Quite often,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Almost never,Quite often,Very often,Sometimes,Sometimes,Very often,Sometimes,Almost never,Sometimes,Sometimes,Sometimes,Very often,Sometimes,Never,Sometimes,Almost never,Almost never
2025/01/26 03:15:22 PM GMT+3,Bachelor's Degree,Female,25 - 34,Sometimes,Quite often,Quite often,Very often,Sometimes,Very often,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Very often,Quite often,Sometimes,Quite often,Almost never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Sometimes
2025/01/04 01:34:19 AM GMT+3,Bachelor's Degree,Female,55 and above,Quite often,Sometimes,Quite often,Sometimes,Very often,Sometimes,Sometimes,Very often,Sometimes,Sometimes,Never,Sometimes,Very often,Sometimes,Almost never,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Sometimes,Very often,Sometimes,Very often,Sometimes,Sometimes,Sometimes,Very often,Almost never
2025/01/26 01:36:40 AM GMT+3,Bachelor's Degree,Female,18 - 24,Very often,Very often,Almost never,Very often,Sometimes,Sometimes,Sometimes,Sometimes,Very often,Very often,Sometimes,Sometimes,Very often,Sometimes,Almost never,Very often,Never,Quite often,Almost never,Very often,Quite often,Never,Very often,Sometimes,Sometimes,Never,Sometimes,Very often,Almost never,Very often,Almost never
